,上城,下城,江干,拱墅,西湖,滨江,之江,下沙,大江东,萧山,余杭,富阳,桐庐,建德,淳安,临安,合计
2016-01-01,1828,9489,24994,14648,7139,10031,6810,8393,3933,25481,54367,9848,10034,5918,7366,10524,210803
2016-01-02,1830,9485,24981,14634,7124,10007,6801,8377,3929,25427,54273,9845,10025,5912,7363,10504,210517
2016-01-03,1827,9480,24953,14606,7106,9967,6787,8371,3925,25340,54193,9841,10020,5908,7362,10493,210179
2016-01-04,1826,9464,24904,14588,7099,10059,6777,8372,3919,25306,54108,9833,10009,5901,7356,10483,210004
2016-01-05,1826,9550,24857,14564,7093,9991,6745,8354,3906,25256,54026,9849,9990,5896,7349,10480,209732
2016-01-06,1824,9647,24825,14544,7085,9957,6724,8328,3900,25174,53878,9836,9979,5885,7348,10474,209408
2016-01-07,1821,9645,24800,14538,7031,9803,6719,8309,3896,25104,53788,9814,9966,5969,7344,10469,209016
2016-01-08,1819,9615,24746,14522,7038,9769,6707,8288,3894,24955,53451,9804,9954,5961,7332,10429,208284
2016-01-09,1818,9611,24739,14491,7057,9703,6687,8257,3886,24867,53339,9791,9944,5950,7325,10423,207888
2016-01-10,1817,9603,24697,14472,7044,9669,6676,8231,3879,24812,53246,9775,9937,5937,7320,10418,207533
2016-01-11,1814,9595,24938,14461,7029,9654,6674,8249,4286,24917,53139,9769,9977,5932,7318,10411,208163
2016-01-12,1229,9569,24839,14486,7017,9645,6658,8209,4279,24853,54301,9754,9960,5925,7315,10403,208442
2016-01-13,1223,9555,24821,14449,7010,9705,6649,8188,4277,24924,53610,9737,9948,5994,7310,10389,207789
2016-01-14,1226,9540,24786,14450,6986,9684,6641,8162,4268,25209,53761,9722,9928,5991,7307,10392,208053
2016-01-15,1222,9532,24740,14432,7067,9650,6619,8114,4389,25160,54079,9900,9923,5982,7394,10430,208633
2016-01-16,1220,9525,24585,14403,7053,9612,6608,8093,4381,25110,53986,9893,9914,5978,7388,10425,208174
2016-01-17,1217,9522,24547,14392,7040,9577,6605,8083,4376,25078,53903,9886,9913,5975,7380,10422,207916
2016-01-18,1213,9496,24524,14376,7030,9596,6594,8070,4384,25169,53744,9872,9883,5969,7365,10406,207691
2016-01-19,1210,9478,24483,14367,7021,9851,6588,8046,4376,25136,53661,9855,9838,5958,7356,10407,207631
2016-01-20,1206,9465,24434,14341,7009,9824,6573,8029,4372,25102,53545,9839,9828,5955,7353,10437,207312
2016-01-21,1205,9459,24390,14323,7001,9793,6620,8866,4368,25060,53454,9915,9817,5952,7346,10428,207997
2016-01-22,1206,9455,24575,14325,6980,9778,6600,8860,4360,25030,53703,9897,9813,6203,7346,10420,208551
2016-01-23,1205,9451,24536,14332,6975,9779,6569,8856,4355,24969,53622,9874,9811,6695,7342,10414,208785
2016-01-24,1202,9449,24503,14316,6980,9785,6547,8854,4349,24917,53543,9862,9809,6692,7339,10409,208556
2016-01-25,1188,9435,24498,14297,6969,9759,6540,8852,4352,24850,53667,9854,9799,6679,7339,10402,208480
2016-01-26,1247,9565,24450,14526,6948,9740,6532,8839,4398,24781,53509,9812,9788,6668,7533,10441,208777
